Tiempo(s)	Voltaje(V)
4.040000000000000036e+00	-4.804305778525304049e-01
4.049999999999999822e+00	-4.794654655270278454e-01
4.059999999999999609e+00	-4.794654655270278454e-01
4.070000000000000284e+00	-4.797871696355286986e-01
4.080000000000000071e+00	-4.788220573100261390e-01
4.089999999999999858e+00	-4.791437614185269922e-01
4.099999999999999645e+00	-4.785003532015252858e-01
4.110000000000000320e+00	-4.788220573100261390e-01
4.120000000000000107e+00	-4.781786490930244327e-01
4.129999999999999893e+00	-4.775352408760227263e-01
4.139999999999999680e+00	-4.772135367675218731e-01
4.150000000000000355e+00	-4.762484244420193136e-01
4.160000000000000142e+00	-4.756050162250176072e-01
4.169999999999999929e+00	-4.759267203335184604e-01
4.179999999999999716e+00	-4.749616080080159009e-01
4.190000000000000391e+00	-4.762484244420193136e-01
4.200000000000000178e+00	-4.749616080080159009e-01
4.209999999999999964e+00	-4.752833121165167540e-01
4.219999999999999751e+00	-4.749616080080159009e-01
4.230000000000000426e+00	-4.736747915740124881e-01
4.240000000000000213e+00	-4.746399038995150477e-01
4.250000000000000000e+00	-4.730313833570107818e-01
4.259999999999999787e+00	-4.736747915740124881e-01
4.269999999999999574e+00	-4.736747915740124881e-01
4.280000000000000249e+00	-4.727096792485099286e-01
4.290000000000000036e+00	-4.730313833570107818e-01
4.299999999999999822e+00	-4.723879751400090754e-01
4.309999999999999609e+00	-4.727096792485099286e-01
4.320000000000000284e+00	-4.711011587060056627e-01
4.330000000000000071e+00	-4.711011587060056627e-01
4.339999999999999858e+00	-4.711011587060056627e-01
4.349999999999999645e+00	-4.698143422720022500e-01
4.360000000000000320e+00	-4.698143422720022500e-01
4.370000000000000107e+00	-4.698143422720022500e-01
4.379999999999999893e+00	-4.685275258379988372e-01
4.389999999999999680e+00	-4.694926381635013968e-01
4.400000000000000355e+00	-4.682058217294979841e-01
4.410000000000000142e+00	-4.669190052954945713e-01
4.419999999999999929e+00	-4.669190052954945713e-01
4.429999999999999716e+00	-4.656321888614911586e-01
4.440000000000000391e+00	-4.656321888614911586e-01
4.450000000000000178e+00	-4.640236683189868927e-01
4.459999999999999964e+00	-4.637019642104860395e-01
4.469999999999999751e+00	-4.643453724274877459e-01
4.480000000000000426e+00	-4.637019642104860395e-01
4.490000000000000213e+00	-4.640236683189868927e-01
4.500000000000000000e+00	-4.604849231254775077e-01
4.509999999999999787e+00	-4.530857286299578846e-01
4.519999999999999574e+00	-4.341051862284075469e-01
4.530000000000000249e+00	-4.074037452228367329e-01
4.540000000000000036e+00	-3.858495699532795697e-01
4.549999999999999822e+00	-3.800588960002642125e-01
4.559999999999999609e+00	-3.974309178593102843e-01
4.570000000000000284e+00	-4.234889506478793919e-01
4.580000000000000071e+00	-4.460082382429391146e-01
4.589999999999999858e+00	-4.595198107999749482e-01
4.599999999999999645e+00	-4.624151477764826268e-01
4.610000000000000320e+00	-4.643453724274877459e-01
4.620000000000000107e+00	-4.653104847529903054e-01
4.629999999999999893e+00	-4.691709340550005436e-01
4.639999999999999680e+00	-4.875080682395491749e-01
4.650000000000000355e+00	-5.296513064531609416e-01
4.660000000000000142e+00	-5.849844131153076887e-01
4.669999999999999929e+00	-5.997828021063469350e-01
4.679999999999999716e+00	-4.891165887820534408e-01
4.690000000000000391e+00	-1.957224418292753398e-01
4.700000000000000178e+00	2.205626745708286762e-01
4.709999999999999964e+00	4.917592380370479077e-01
4.719999999999999751e+00	3.929960767272859812e-01
4.730000000000000426e+00	-8.812354790279641747e-03
4.740000000000000213e+00	-4.231672465393785387e-01
4.750000000000000000e+00	-6.596197662875056267e-01
4.759999999999999787e+00	-6.959723305481020361e-01
4.769999999999999574e+00	-6.290578759799245745e-01
4.780000000000000249e+00	-5.489535529632121325e-01
4.790000000000000036e+00	-5.010196407965850085e-01
4.799999999999999822e+00	-4.849344353715423495e-01
4.809999999999999609e+00	-4.823608025035355240e-01
4.820000000000000284e+00	-4.823608025035355240e-01
4.830000000000000071e+00	-4.820390983950346708e-01
4.839999999999999858e+00	-4.823608025035355240e-01
4.849999999999999645e+00	-4.807522819610312581e-01
4.860000000000000320e+00	-4.813956901780329645e-01
4.870000000000000107e+00	-4.807522819610312581e-01
4.879999999999999893e+00	-4.801088737440295517e-01
4.889999999999999680e+00	-4.797871696355286986e-01
4.900000000000000355e+00	-4.762484244420193136e-01
4.910000000000000142e+00	-4.698143422720022500e-01
4.919999999999999929e+00	-4.553376573894638568e-01
4.929999999999999716e+00	-4.321749615774024278e-01
4.940000000000000391e+00	-4.070820411143358797e-01
4.950000000000000178e+00	-3.842410494107753038e-01
4.959999999999999964e+00	-3.784503754577599466e-01
4.969999999999999751e+00	-3.903534274722915143e-01
4.980000000000000426e+00	-4.138378273928537965e-01
4.990000000000000213e+00	-4.408609725069254637e-01
5.000000000000000000e+00	-4.608066272339783609e-01
5.009999999999999787e+00	-4.739964956825133413e-01
5.019999999999999574e+00	-4.794654655270278454e-01
5.030000000000000249e+00	-4.810739860695321113e-01
5.040000000000000036e+00	-4.823608025035355240e-01
5.049999999999999822e+00	-4.817173942865338176e-01
5.059999999999999609e+00	-4.817173942865338176e-01
5.070000000000000284e+00	-4.801088737440295517e-01
5.080000000000000071e+00	-4.797871696355286986e-01
5.089999999999999858e+00	-4.801088737440295517e-01
5.099999999999999645e+00	-4.788220573100261390e-01
5.110000000000000320e+00	-4.794654655270278454e-01
5.120000000000000107e+00	-4.794654655270278454e-01
5.129999999999999893e+00	-4.785003532015252858e-01
5.139999999999999680e+00	-4.791437614185269922e-01
5.150000000000000355e+00	-4.772135367675218731e-01
5.160000000000000142e+00	-4.778569449845235795e-01
5.169999999999999929e+00	-4.778569449845235795e-01
